y,x,street_count,highway,ref,geometry,avg_minutes,15_minutes
51.2289365,6.8042852,3,,,POINT (6.8042852 51.2289365),18.666666666666668,False
51.2184728,6.7661587,3,,,POINT (6.7661587 51.2184728),8.0,True
51.2052257,6.7952631,3,,,POINT (6.7952631 51.2052257),6.333333333333333,True
51.2147515,6.7494814,3,,,POINT (6.7494814 51.2147515),25.0,False
51.2194615,6.7943827,1,,,POINT (6.7943827 51.2194615),5.333333333333333,True
51.2074291,6.7876893,1,,,POINT (6.7876893 51.2074291),1.0,True
51.2209598,6.7878081,3,,,POINT (6.7878081 51.2209598),0.0,True
51.2316733,6.7626577,3,,,POINT (6.7626577 51.2316733),8.666666666666666,True
51.2034745,6.8175723,3,,,POINT (6.8175723 51.2034745),39.666666666666664,False
51.2271238,6.7721082,3,,,POINT (6.7721082 51.2271238),1.3333333333333333,True
51.205293,6.8103695,3,,,POINT (6.8103695 51.205293),23.333333333333332,False
51.1996295,6.7968188,4,,,POINT (6.7968188 51.1996295),11.666666666666666,True
51.2480752,6.7410821,5,,,POINT (6.7410821 51.2480752),39.666666666666664,False
51.249576,6.8003519,1,,,POINT (6.8003519 51.249576),16.666666666666668,False
51.2361006,6.7857702,1,,,POINT (6.7857702 51.2361006),1.0,True
51.2041038,6.7654862,1,,,POINT (6.7654862 51.2041038),7.0,True
51.1989206,6.8085551,3,,,POINT (6.8085551 51.1989206),24.333333333333332,False
51.2287176,6.7738075,4,,,POINT (6.7738075 51.2287176),1.6666666666666667,True
51.2009277,6.7883605,1,,,POINT (6.7883605 51.2009277),1.0,True
51.2142748,6.8078488,3,,,POINT (6.8078488 51.2142748),21.0,False
51.202179,6.7999748,3,,,POINT (6.7999748 51.202179),10.666666666666666,True
51.220779,6.7866532,3,,,POINT (6.7866532 51.220779),0.0,True
51.2411536,6.7794706,3,,,POINT (6.7794706 51.2411536),1.6666666666666667,True
51.1993462,6.7412613,3,,,POINT (6.7412613 51.1993462),37.0,False
51.216269,6.7610899,4,,,POINT (6.7610899 51.216269),11.333333333333334,True
51.2184268,6.8013088,3,,,POINT (6.8013088 51.2184268),15.0,True
51.1992539,6.7901409,1,,,POINT (6.7901409 51.1992539),0.3333333333333333,True
51.2199793,6.7784908,3,,,POINT (6.7784908 51.2199793),1.6666666666666667,True
51.2463392,6.7743796,3,,,POINT (6.7743796 51.2463392),1.0,True
51.2242239,6.7908959,3,crossing,,POINT (6.7908959 51.2242239),0.0,True
51.2277725,6.8017181,1,,,POINT (6.8017181 51.2277725),13.333333333333334,True
51.2340419,6.8162497,1,,,POINT (6.8162497 51.2340419),30.0,False
51.2471048,6.7951504,1,,,POINT (6.7951504 51.2471048),7.666666666666667,True
51.2257407,6.7532511,3,,,POINT (6.7532511 51.2257407),27.333333333333332,False
51.2156814,6.7782,3,,,POINT (6.7782 51.2156814),2.0,True
51.2169848,6.8013213,1,,,POINT (6.8013213 51.2169848),11.333333333333334,True
51.2028577,6.7932634,1,,,POINT (6.7932634 51.2028577),4.0,True
51.1984861,6.8118059,3,,,POINT (6.8118059 51.1984861),29.0,False
51.2042836,6.7766864,4,,,POINT (6.7766864 51.2042836),1.3333333333333333,True
51.203979,6.799458,3,,,POINT (6.799458 51.203979),11.666666666666666,True
51.2369475,6.779925,1,,,POINT (6.779925 51.2369475),1.0,True
51.2351042,6.7961913,3,,,POINT (6.7961913 51.2351042),10.666666666666666,True
51.2009119,6.8086609,3,,,POINT (6.8086609 51.2009119),21.0,False
51.1996199,6.7909159,4,crossing,,POINT (6.7909159 51.1996199),1.3333333333333333,True
51.2194585,6.8144237,3,,,POINT (6.8144237 51.2194585),29.333333333333332,False
51.2197428,6.8174055,3,,,POINT (6.8174055 51.2197428),33.333333333333336,False
51.2295183,6.7610113,4,,,POINT (6.7610113 51.2295183),13.333333333333334,True
51.2025969,6.7917781,4,,,POINT (6.7917781 51.2025969),2.0,True
51.2224712,6.7715422,3,,,POINT (6.7715422 51.2224712),2.0,True
