index,osmid,y,x,street_count,highway,ref,geometry,avg_minutes,15_minutes
9437,2657769965,51.2145248,6.7609888,1,,,POINT (6.7609888 51.2145248),12.0,True
16032,8324644888,51.223005,6.7813471,5,crossing,,POINT (6.7813471 51.223005),0.6666666666666666,True
5690,1529254824,51.2388063,6.7352651,3,,,POINT (6.7352651 51.2388063),45.0,False
16075,8416829099,51.2132401,6.7840967,4,,,POINT (6.7840967 51.2132401),1.3333333333333333,True
15222,7703440518,51.2352916,6.7424586,1,,,POINT (6.7424586 51.2352916),33.666666666666664,False
12099,4026705760,51.2298615,6.7442665,3,,,POINT (6.7442665 51.2298615),28.0,False
3719,595793260,51.221168,6.7728127,3,,,POINT (6.7728127 51.221168),1.6666666666666667,True
10317,3228842656,51.2003284,6.8094506,3,,,POINT (6.8094506 51.2003284),24.0,False
8396,2195731188,51.2360393,6.8186411,3,,,POINT (6.8186411 51.2360393),32.0,False
5541,1519286669,51.2313662,6.7980935,3,,,POINT (6.7980935 51.2313662),12.333333333333334,True
10432,3241322956,51.200776,6.797087,4,,,POINT (6.797087 51.200776),10.0,True
3795,634261729,51.2501472,6.7750181,3,,,POINT (6.7750181 51.2501472),0.3333333333333333,True
11597,3579088276,51.2110533,6.8138697,3,,,POINT (6.8138697 51.2110533),24.333333333333332,False
7065,1601138663,51.2450729,6.7996247,3,,,POINT (6.7996247 51.2450729),12.333333333333334,True
13155,5093054144,51.2286305,6.7914778,3,,,POINT (6.7914778 51.2286305),1.6666666666666667,True
1578,267760512,51.2068003,6.8008518,3,,,POINT (6.8008518 51.2068003),12.666666666666666,True
8834,2360259707,51.2047659,6.8156017,3,,,POINT (6.8156017 51.2047659),34.0,False
7121,1602560448,51.2479058,6.8087378,3,,,POINT (6.8087378 51.2479058),20.666666666666668,False
7620,1742857284,51.2137929,6.7826485,3,,,POINT (6.7826485 51.2137929),0.6666666666666666,True
10746,3299326643,51.2229989,6.782368,4,crossing,,POINT (6.782368 51.2229989),1.0,True
2021,279381278,51.2168283,6.7753901,3,,,POINT (6.7753901 51.2168283),0.3333333333333333,True
12850,4560831653,51.2350207,6.7510686,3,,,POINT (6.7510686 51.2350207),25.666666666666668,False
15104,7680575764,51.2119569,6.7591852,3,,,POINT (6.7591852 51.2119569),12.0,True
10830,3383212316,51.1984243,6.751093,3,,,POINT (6.751093 51.1984243),26.333333333333332,False
3622,574654123,51.2168719,6.8008895,3,,,POINT (6.8008895 51.2168719),11.0,True
3209,486089540,51.2189235,6.7776496,3,,,POINT (6.7776496 51.2189235),2.0,True
13448,5300779723,51.2275258,6.7747307,3,,,POINT (6.7747307 51.2275258),1.0,True
3783,620786495,51.2314444,6.763473,3,,,POINT (6.763473 51.2314444),8.333333333333334,True
1954,277979197,51.2384772,6.7887335,3,,,POINT (6.7887335 51.2384772),0.3333333333333333,True
11869,3781380287,51.2197254,6.803802,4,,,POINT (6.803802 51.2197254),16.333333333333332,False
6716,1587405443,51.2472642,6.7975487,3,,,POINT (6.7975487 51.2472642),9.333333333333334,True
13034,4903817962,51.2259873,6.7767679,3,,,POINT (6.7767679 51.2259873),2.6666666666666665,True
3365,534763527,51.242812,6.7359284,3,,,POINT (6.7359284 51.242812),45.666666666666664,False
2825,389981143,51.203643,6.7427868,3,,,POINT (6.7427868 51.203643),32.333333333333336,False
13436,5292254787,51.2509332,6.7983158,3,,,POINT (6.7983158 51.2509332),18.666666666666668,False
6151,1561574809,51.2250059,6.7756523,4,,,POINT (6.7756523 51.2250059),0.3333333333333333,True
15385,7726462041,51.233404,6.775811,3,,,POINT (6.775811 51.233404),1.0,True
4747,1225918546,51.2266177,6.7640653,3,,,POINT (6.7640653 51.2266177),18.333333333333332,False
6657,1587058270,51.2230057,6.7715573,5,,,POINT (6.7715573 51.2230057),1.3333333333333333,True
4974,1345115185,51.203123,6.8191416,1,,,POINT (6.8191416 51.203123),41.333333333333336,False
8395,2195731186,51.2360288,6.8183848,3,,,POINT (6.8183848 51.2360288),32.0,False
11919,3789798340,51.2316476,6.7980481,1,,,POINT (6.7980481 51.2316476),13.0,True
2192,288891482,51.2016099,6.8004509,3,,,POINT (6.8004509 51.2016099),12.333333333333334,True
12268,4179440356,51.2171937,6.7617345,4,,,POINT (6.7617345 51.2171937),11.0,True
